,Unnamed: 0,Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value,Country
0,61,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Number,807,Canada
1,62,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Number,1300,Canada
2,63,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Number,1379,Canada
3,64,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Number,1027,Canada
4,65,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Number,1798,Canada
5,66,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2021,,,Number,2324,Canada
6,67,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2022,,,Number,2412,Canada
7,68,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2023,,,Number,2602,Canada
8,69,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2024 (Jan to Jun),,,Number,1200,Canada
9,113,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Number,602,Canada
10,114,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Number,744,Canada
11,115,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Number,805,Canada
12,116,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Number,626,Canada
13,117,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Number,1191,Canada
14,118,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2021,,,Number,1640,Canada
15,119,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2022,,,Number,1524,Canada
16,120,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2023,,,Number,1872,Canada
17,121,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2024 (Jan to Jun),,,Number,622,Canada
18,165,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Number,83,Canada
19,166,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Number,85,Canada
20,167,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Number,116,Canada
21,168,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Number,115,Canada
22,169,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Number,250,Canada
23,170,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2021,,,Number,327,Canada
24,171,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2022,,,Number,293,Canada
25,172,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2023,,,Number,316,Canada
26,173,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2024 (Jan to Jun),,,Number,98,Canada
27,217,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Number,88,Canada
28,218,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Number,106,Canada
29,219,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Number,93,Canada
30,220,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Number,62,Canada
31,221,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Number,233,Canada
32,222,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2021,,,Number,286,Canada
33,223,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2022,,,Number,287,Canada
34,224,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2023,,,Number,330,Canada
35,225,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2024 (Jan to Jun),,,Number,198,Canada
36,269,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Number,867,Canada
37,270,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Number,1265,Canada
38,271,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Number,1511,Canada
39,272,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Number,1560,Canada
40,273,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Number,2464,Canada
41,274,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2021,,,Number,2861,Canada
42,275,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2022,,,Number,2534,Canada
43,276,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2023,,,Number,2647,Canada
44,277,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2024 (Jan to Jun),,,Number,1258,Canada
45,321,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2016,,,Number,263,Canada
46,322,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2017,,,Number,280,Canada
47,323,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2018,,,Number,211,Canada
48,324,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2019,,,Number,213,Canada
49,325,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2020,,,Number,321,Canada
50,326,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2021,,,Number,293,Canada
51,327,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2022,,,Number,540,Canada
52,328,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2023,,,Number,536,Canada
53,329,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2024 (Jan to Jun),,,Number,319,Canada
54,373,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2016,,,Number,34,Canada
55,374,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2017,,,Number,38,Canada
56,375,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2018,,,Number,30,Canada
57,376,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2019,,,Number,35,Canada
58,377,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2020,,,Number,45,Canada
59,378,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2021,,,Number,47,Canada
60,379,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2022,,,Number,77,Canada
61,380,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2023,,,Number,98,Canada
62,381,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2024 (Jan to Jun),,,Number,19,Canada
63,425,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2016,,,Number,53,Canada
64,426,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2017,,,Number,64,Canada
65,427,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,,,Number,55,Canada
66,428,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,,,Number,56,Canada
67,429,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,,,Number,49,Canada
68,430,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2021,,,Number,40,Canada
69,431,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2022,,,Number,62,Canada
70,432,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2023,,,Number,73,Canada
71,433,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2024 (Jan to Jun),,,Number,38,Canada
72,477,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2016,,,Number,5,Canada
73,478,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2017,,,Number,5,Canada
74,479,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2018,,,Number,8,Canada
75,480,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2019,,,Number,5,Canada
76,481,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,,,Number,8,Canada
77,482,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2021,,,Number,12,Canada
78,483,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2022,,,Number,6,Canada
79,484,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2023,,,Number,7,Canada
80,485,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2024 (Jan to Jun),,,Number,5,Canada
81,529,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2016,,,Number,18,Canada
82,530,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2017,,,Number,33,Canada
83,531,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2018,,,Number,12,Canada
84,532,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2019,,,Number,18,Canada
85,533,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,,,Number,24,Canada
86,534,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2021,,,Number,27,Canada
87,535,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2022,,,Number,30,Canada
88,536,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2023,,,Number,37,Canada
89,537,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2024 (Jan to Jun),,,Number,23,Canada
90,581,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2016,,,Number,7,Canada
91,582,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2017,,,Number,7,Canada
92,583,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2018,,,Number,5,Canada
93,584,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2019,,,Number,4,Canada
94,585,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2020,,,Number,10,Canada
95,586,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2021,,,Number,23,Canada
96,587,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2022,,,Number,19,Canada
97,588,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2023,,,Number,17,Canada
98,589,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),,,Number,5,Canada
99,633,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2016,,,Number,5,Canada
100,634,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2017,,,Number,1,Canada
101,635,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,,,Number,2,Canada
102,636,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,,,Number,1,Canada
103,637,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,,,Number,3,Canada
104,638,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,,,Number,4,Canada
105,639,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,,,Number,7,Canada
106,640,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,,,Number,3,Canada
107,641,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),,,Number,2,Canada
108,685,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2016,,,Number,0,Canada
109,686,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2017,,,Number,0,Canada
110,687,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2018,,,Number,0,Canada
111,688,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2019,,,Number,Suppr.,Canada
112,689,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2020,,,Number,Suppr.,Canada
113,690,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2021,,,Number,Suppr.,Canada
114,691,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2022,,,Number,Suppr.,Canada
115,692,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2023,,,Number,0,Canada
116,693,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),,,Number,,Canada
117,789,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Number,791,Canada
118,790,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Number,1277,Canada
119,791,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Number,1365,Canada
120,792,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Number,980,Canada
121,793,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Number,1768,Canada
122,794,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2021,,,Number,2281,Canada
123,795,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2022,,,Number,2368,Canada
124,796,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2023,,,Number,2558,Canada
125,797,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2024 (Jan to Jun),,,Number,1181,Canada
126,841,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Number,547,Canada
127,842,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Number,683,Canada
128,843,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Number,799,Canada
129,844,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Number,619,Canada
130,845,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Number,1172,Canada
131,846,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2021,,,Number,1628,Canada
132,847,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2022,,,Number,1511,Canada
133,848,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2023,,,Number,1854,Canada
134,849,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2024 (Jan to Jun),,,Number,618,Canada
135,893,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Number,76,Canada
136,894,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Number,74,Canada
137,895,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Number,105,Canada
138,896,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Number,107,Canada
139,897,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Number,237,Canada
140,898,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2021,,,Number,316,Canada
141,899,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2022,,,Number,281,Canada
142,900,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2023,,,Number,311,Canada
143,901,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2024 (Jan to Jun),,,Number,97,Canada
144,945,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Number,61,Canada
145,946,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Number,87,Canada
146,947,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Number,78,Canada
147,948,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Number,54,Canada
148,949,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Number,225,Canada
149,950,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2021,,,Number,269,Canada
150,951,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2022,,,Number,248,Canada
151,952,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2023,,,Number,229,Canada
152,953,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2024 (Jan to Jun),,,Number,68,Canada
153,997,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Number,726,Canada
154,998,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Number,1127,Canada
155,999,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Number,1342,Canada
156,1000,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Number,1434,Canada
157,1001,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Number,2331,Canada
