,Unnamed: 0,Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value,Country
10149,17075,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,British Columbia,59,By year,2018,,,Number,1093,Canada
10150,17076,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,British Columbia,59,By year,2019,,,Number,574,Canada
10151,17077,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,British Columbia,59,By year,2020,,,Number,1125,Canada
10152,17078,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,British Columbia,59,By year,2021,,,Number,1335,Canada
10153,17079,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,British Columbia,59,By year,2022,,,Number,1501,Canada
10154,17080,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,British Columbia,59,By year,2023,,,Number,1659,Canada
10155,17081,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,British Columbia,59,By year,2024 (Jan to Jun),,,Number,290,Canada
10156,17115,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Alberta,48,By year,2018,,,Number,,Canada
10157,17116,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Alberta,48,By year,2019,,,Number,,Canada
10158,17117,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Alberta,48,By year,2020,,,Number,,Canada
10159,17118,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Alberta,48,By year,2021,,,Number,,Canada
10160,17119,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Alberta,48,By year,2022,,,Number,,Canada
10161,17120,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Alberta,48,By year,2023,,,Number,,Canada
10162,17121,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Alberta,48,By year,2024 (Jan to Jun),,,Number,,Canada
10163,17155,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Saskatchewan,47,By year,2018,,,Number,83,Canada
10164,17156,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Saskatchewan,47,By year,2019,,,Number,93,Canada
10165,17157,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Saskatchewan,47,By year,2020,,,Number,172,Canada
10166,17158,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Saskatchewan,47,By year,2021,,,Number,265,Canada
10167,17159,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Saskatchewan,47,By year,2022,,,Number,241,Canada
10168,17160,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Saskatchewan,47,By year,2023,,,Number,294,Canada
10169,17161,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Saskatchewan,47,By year,2024 (Jan to Jun),,,Number,97,Canada
10170,17195,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Manitoba,46,By year,2018,,,Number,,Canada
10171,17196,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Manitoba,46,By year,2019,,,Number,81,Canada
10172,17197,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Manitoba,46,By year,2020,,,Number,239,Canada
10173,17198,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Manitoba,46,By year,2021,,,Number,295,Canada
10174,17199,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Manitoba,46,By year,2022,,,Number,310,Canada
10175,17200,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Manitoba,46,By year,2023,,,Number,369,Canada
10176,17201,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Manitoba,46,By year,2024 (Jan to Jun),,,Number,223,Canada
10177,17235,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Ontario,35,By year,2018,,,Number,925,Canada
10178,17236,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Ontario,35,By year,2019,,,Number,1033,Canada
10179,17237,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Ontario,35,By year,2020,,,Number,1758,Canada
10180,17238,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Ontario,35,By year,2021,,,Number,2095,Canada
10181,17239,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Ontario,35,By year,2022,,,Number,1970,Canada
10182,17240,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Ontario,35,By year,2023,,,Number,2268,Canada
10183,17241,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Ontario,35,By year,2024 (Jan to Jun),,,Number,921,Canada
10184,17275,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Quebec,24,By year,2018,,,Number,163,Canada
10185,17276,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Quebec,24,By year,2019,,,Number,143,Canada
10186,17277,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Quebec,24,By year,2020,,,Number,196,Canada
10187,17278,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Quebec,24,By year,2021,,,Number,184,Canada
10188,17279,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Quebec,24,By year,2022,,,Number,,Canada
10189,17280,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Quebec,24,By year,2023,,,Number,,Canada
10190,17281,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Quebec,24,By year,2024 (Jan to Jun),,,Number,,Canada
10191,17315,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,New Brunswick,13,By year,2018,,,Number,20,Canada
10192,17316,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,New Brunswick,13,By year,2019,,,Number,29,Canada
10193,17317,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,New Brunswick,13,By year,2020,,,Number,38,Canada
10194,17318,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,New Brunswick,13,By year,2021,,,Number,45,Canada
10195,17319,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,New Brunswick,13,By year,2022,,,Number,69,Canada
10196,17320,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,New Brunswick,13,By year,2023,,,Number,78,Canada
10197,17321,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,New Brunswick,13,By year,2024 (Jan to Jun),,,Number,14,Canada
10198,17355,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nova Scotia,12,By year,2018,,,Number,25,Canada
10199,17356,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nova Scotia,12,By year,2019,,,Number,29,Canada
10200,17357,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nova Scotia,12,By year,2020,,,Number,36,Canada
10201,17358,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nova Scotia,12,By year,2021,,,Number,36,Canada
10202,17359,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nova Scotia,12,By year,2022,,,Number,46,Canada
10203,17360,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nova Scotia,12,By year,2023,,,Number,68,Canada
10204,17361,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nova Scotia,12,By year,2024 (Jan to Jun),,,Number,28,Canada
10205,17395,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Prince Edward Island,11,By year,2018,,,Number,,Canada
10206,17396,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Prince Edward Island,11,By year,2019,,,Number,,Canada
10207,17397,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Prince Edward Island,11,By year,2020,,,Number,,Canada
10208,17398,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Prince Edward Island,11,By year,2021,,,Number,,Canada
10209,17399,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Prince Edward Island,11,By year,2022,,,Number,,Canada
10210,17400,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Prince Edward Island,11,By year,2023,,,Number,,Canada
10211,17401,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Prince Edward Island,11,By year,2024 (Jan to Jun),,,Number,,Canada
10212,17435,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Newfoundland and Labrador,10,By year,2018,,,Number,,Canada
10213,17436,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Newfoundland and Labrador,10,By year,2019,,,Number,,Canada
10214,17437,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Newfoundland and Labrador,10,By year,2020,,,Number,10,Canada
10215,17438,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Newfoundland and Labrador,10,By year,2021,,,Number,16,Canada
10216,17439,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Newfoundland and Labrador,10,By year,2022,,,Number,19,Canada
10217,17440,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Newfoundland and Labrador,10,By year,2023,,,Number,38,Canada
10218,17441,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Newfoundland and Labrador,10,By year,2024 (Jan to Jun),,,Number,23,Canada
10219,17475,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Yukon,60,By year,2018,,,Number,,Canada
10220,17476,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Yukon,60,By year,2019,,,Number,,Canada
10221,17477,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Yukon,60,By year,2020,,,Number,,Canada
10222,17478,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Yukon,60,By year,2021,,,Number,6,Canada
10223,17479,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Yukon,60,By year,2022,,,Number,15,Canada
10224,17480,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Yukon,60,By year,2023,,,Number,16,Canada
10225,17481,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),,,Number,2,Canada
10226,17515,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Northwest Territories,61,By year,2018,,,Number,,Canada
10227,17516,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Northwest Territories,61,By year,2019,,,Number,,Canada
10228,17517,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Northwest Territories,61,By year,2020,,,Number,4,Canada
10229,17518,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Northwest Territories,61,By year,2021,,,Number,3,Canada
10230,17519,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Northwest Territories,61,By year,2022,,,Number,7,Canada
10231,17520,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Northwest Territories,61,By year,2023,,,Number,3,Canada
10232,17521,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),,,Number,1,Canada
10233,17555,Stimulants,Deaths,Overall numbers,Total apparent stimulant toxicity deaths,Nunavut,62,By year,2018,,,Number,0,Canada
