,Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value,Country
61,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Number,807,Canada
62,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Number,1300,Canada
63,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Number,1379,Canada
64,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Number,1027,Canada
65,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Number,1798,Canada
66,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2021,,,Number,2324,Canada
67,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2022,,,Number,2412,Canada
68,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2023,,,Number,2602,Canada
69,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2024 (Jan to Jun),,,Number,1200,Canada
113,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Number,602,Canada
114,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Number,744,Canada
115,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Number,805,Canada
116,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Number,626,Canada
117,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Number,1191,Canada
118,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2021,,,Number,1640,Canada
119,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2022,,,Number,1524,Canada
120,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2023,,,Number,1872,Canada
121,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2024 (Jan to Jun),,,Number,622,Canada
165,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Number,83,Canada
166,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Number,85,Canada
167,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Number,116,Canada
168,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Number,115,Canada
169,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Number,250,Canada
170,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2021,,,Number,327,Canada
171,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2022,,,Number,293,Canada
172,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2023,,,Number,316,Canada
173,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2024 (Jan to Jun),,,Number,98,Canada
217,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Number,88,Canada
