Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2016,,,Crude rate,7.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2017,,,Crude rate,10.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2018,,,Crude rate,11.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2019,,,Crude rate,9.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2020,,,Crude rate,16.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2021,,,Crude rate,20.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2022,,,Crude rate,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2023,,,Crude rate,21.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2024 (Jan to Jun),,,Crude rate,18.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2016,,,Number,2832
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2017,,,Number,3928
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2018,,,Number,4227
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2019,,,Number,3722
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2020,,,Number,6396
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2021,,,Number,7884
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2022,,,Number,7791
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2023,,,Number,8538
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2024 (Jan to Jun),,,Number,3787
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q1,,,Number,669
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q2,,,Number,636
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q3,,,Number,654
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q4,,,Number,863
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q1,,,Number,922
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q2,,,Number,1022
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q3,,,Number,1057
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q4,,,Number,922
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q1,,,Number,1001
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q2,,,Number,974
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q3,,,Number,1101
